iter	Passed	Remaining
595	2195	1488
596	2199	1484
597	2202	1480
598	2206	1477
599	2209	1473
600	2213	1469
601	2216	1465
602	2220	1461
603	2224	1458
604	2228	1454
605	2232	1451
606	2235	1447
607	2239	1443
608	2242	1439
609	2246	1436
610	2249	1432
611	2253	1428
612	2256	1424
613	2259	1420
614	2263	1417
615	2267	1413
616	2271	1410
617	2275	1406
618	2278	1402
619	2282	1398
620	2285	1394
621	2289	1391
622	2292	1387
623	2296	1383
624	2299	1379
625	2303	1375
626	2307	1372
627	2310	1368
628	2314	1365
629	2318	1361
630	2321	1357
631	2325	1353
632	2328	1349
633	2331	1346
634	2335	1342
635	2338	1338
636	2342	1334
637	2345	1330
638	2349	1327
639	2353	1323
640	2356	1319
641	2360	1316
642	2363	1312
643	2367	1308
644	2370	1304
645	2374	1300
646	2377	1297
647	2380	1293
648	2384	1289
649	2387	1285
650	2391	1282
651	2395	1278
652	2399	1275
653	2403	1271
654	2406	1267
655	2410	1263
656	2413	1260
657	2417	1256
658	2420	1252
659	2423	1248
660	2427	1244
661	2430	1241
662	2434	1237
663	2438	1233
664	2442	1230
665	2445	1226
666	2449	1222
667	2452	1219
668	2456	1215
669	2459	1211
670	2463	1207
671	2466	1204
672	2470	1200
673	2473	1196
674	2477	1193
675	2481	1189
676	2485	1185
677	2488	1182
678	2492	1178
679	2496	1174
680	2499	1170
681	2502	1167
682	2506	1163
683	2509	1159
684	2513	1155
685	2516	1151
686	2520	1148
687	2525	1145
688	2528	1141
689	2532	1137
690	2535	1133
691	2539	1130
692	2542	1126
693	2546	1122
694	2549	1118
695	2553	1115
696	2556	1111
697	2560	1107
698	2563	1104
699	2568	1100
700	2571	1097
701	2575	1093
702	2578	1089
703	2582	1085
704	2585	1082
705	2589	1078
706	2593	1074
707	2596	1070
708	2599	1067
709	2604	1063
710	2608	1060
711	2612	1056
712	2615	1052
713	2619	1049
714	2622	1045
715	2626	1041
716	2629	1037
717	2632	1034
718	2636	1030
719	2639	1026
720	2643	1022
721	2647	1019
722	2651	1015
723	2655	1012
724	2659	1008
725	2662	1004
726	2666	1001
727	2669	997
728	2673	993
729	2676	990
730	2680	986
